variable,coefficient,p_value
C(ruca)[T.3.0],-32.78649740523622,0.006310654954715124
C(ruca)[T.4.0],-18.224472483697703,0.03972958321554126
C(ruca)[T.4.1],1.7767320412658822,0.8594429996464399
C(ruca)[T.5.0],-11.132687698759785,0.25620031011390915
C(ruca)[T.5.1],-12.615688191400626,0.5557826316746859
C(ruca)[T.6.0],-9.148744234579953,0.5490960915146801
C(ruca)[T.7.0],-15.161540569447903,0.1051354580632613
C(ruca)[T.7.1],-33.09599794408945,0.0038709466746965904
C(ruca)[T.7.2],7.282158829025461,0.5433252029961171
C(ruca)[T.8.0],-2.6038428643205975,0.8382392634678786
C(ruca)[T.8.1],-26.120904783691447,0.45466250171789746
C(ruca)[T.8.2],-8.857913256787619,0.6484152081311565
C(ruca)[T.9.0],1.6920993875890247,0.8943291096264334
C(ruca)[T.99.0],-1.1898560378742866,0.9120295363885997
avg_services,-0.0008109577069714746,0.476716345445105
avg_beneficiaries,0.03292614065080087,0.23090414633357054
