variable,coefficient,p_value
C(ruca)[T.5.1],-23.872124065967885,0.2165874804908735
C(ruca)[T.6.0],-7.951330269452134,0.5913177214395037
C(ruca)[T.7.0],-10.73135853905481,0.27158702134985047
C(ruca)[T.7.1],-27.41277564610107,0.017910436104843445
C(ruca)[T.7.2],11.520271827444434,0.3288954097400568
C(ruca)[T.8.0],5.951752689492148,0.6305331168208752
C(ruca)[T.8.1],-27.578556122061894,0.37061038241376343
C(ruca)[T.8.2],-1.977481834412456,0.9152553939557713
C(ruca)[T.9.0],4.516516627378373,0.7284020473603114
C(ruca)[T.99.0],-1.389764374688361,0.8961017754153956
avg_services,-0.0007859826819020713,0.5078289362338826
avg_beneficiaries,0.043816887090261374,0.09300786487537048
